"timestamp","system_time","lat","lon","speed","bearing","provider"
"1558635571000","1558635569990","43.00388378","-78.78872862","0.0","0.0","gps"
"1558635578000","1558635576988","43.00387608","-78.78873615","0.0","0.0","gps"
"1558635617000","1558635616000","43.00386798","-78.78872673","0.0","0.0","gps"
"1558635622000","1558635620999","43.00388055","-78.78873828","0.0","0.0","gps"
"1558635629000","1558635627996","43.00389092","-78.78874533","0.0","0.0","gps"
"1558635635000","1558635633998","43.00386687","-78.7887754","3.25","229.3","gps"
"1558635636000","1558635634995","43.00385867","-78.7888142","3.75","252.4","gps"
"1558635637000","1558635635996","43.00383999","-78.78885519","4.25","274.2","gps"
"1558635638000","1558635636993","43.00385104","-78.78890597","4.5","297.7","gps"
"1558635639000","1558635637994","43.00387923","-78.78894549","4.5","322.0","gps"
"1558635640000","1558635638993","43.0039147","-78.78897818","4.75","322.1","gps"
"1558635641000","1558635639987","43.00394843","-78.78901395","4.75","322.1","gps"
"1558635642000","1558635640995","43.00400517","-78.78897267","5.5","359.8","gps"
"1558635643000","1558635641994","43.00405218","-78.78897237","5.25","356.7","gps"
"1558635644000","1558635642988","43.00409984","-78.78897609","5.25","356.7","gps"
"1558635645000","1558635643997","43.00413125","-78.78900995","4.5","325.0","gps"
"1558635646000","1558635644997","43.00415711","-78.78904726","4.25","305.2","gps"
"1558635647000","1558635645995","43.00416675","-78.78909522","4.5","288.3","gps"
"1558635648000","1558635646998","43.00417815","-78.78914659","4.75","278.7","gps"
"1558635649000","1558635647994","43.0041791","-78.78920707","4.75","270.1","gps"
"1558635650000","1558635648994","43.00417235","-78.78925673","4.25","268.1","gps"
"1558635651000","1558635649993","43.00417379","-78.78929483","2.5","268.0","gps"
"1558635652000","1558635650992","43.00417681","-78.78932666","2.25","269.0","gps"
"1558635653000","1558635651993","43.00416622","-78.78935868","3.25","273.2","gps"
"1558635654000","1558635652993","43.00417351","-78.78940294","3.75","288.2","gps"
"1558635655000","1558635653993","43.00419193","-78.78944709","4.0","306.2","gps"
"1558635656000","1558635654994","43.0042201","-78.78948493","4.25","313.5","gps"
"1558635657000","1558635655986","43.00424761","-78.78952449","4.25","313.5","gps"
"1558635658000","1558635656994","43.00435186","-78.78949286","8.0","0.5","gps"
"1558635659000","1558635657993","43.00442927","-78.78950508","9.0","0.4","gps"
"1558635660000","1558635658994","43.0045248","-78.78950087","10.0","0.7","gps"
"1558635661000","1558635659994","43.00461821","-78.78949826","10.75","359.9","gps"
"1558635662000","1558635660994","43.00470517","-78.78950381","10.5","1.0","gps"
